code	name	lat	lng
CH-GR	Graubünden	46.657	9.578
CH-JU	Jura	47.344	7.143
CH-LU	Luzern	47.05	8.316
CH-SG	Sankt Gallen	47.424	9.371
CH-SH	Schaffhausen	47.708	8.641
CH-TI	Ticino	46.332	8.8
CH-VD	Vaud	46.477	6.235
CH-VS	Valais	46.19	7.545
CH-ZH	Zürich	47.382	8.535
CL-BI	Bío-Bío	-37.029	-72.391
CL-TA	Tarapacá	-19.922	-69.506
CN-11	Beijing	39.904	116.407
CN-50	Chongqing	29.563	106.552
CN-31	Shanghai	31.23	121.474
CN-12	Tianjin	39.084	117.201
CN-34	Anhui	31.844	117.254
CN-35	Fujian	24.722	116.181
CN-62	Gansu	36.066	103.775
CN-44	Guangdong	23.26	113.251
CN-52	Guizhou	26.424	106.674
CN-46	Hainan	35.879	120.051
CN-13	Hebei	38.391	114.856
CN-23	Heilongjiang	48.93	125.665
CN-41	Henan	32.128	114.079
CN-42	Hubei	30.989	112.872
CN-43	Hunan	27.25	113.618
CN-32	Jiangsu	32.092	118.613
CN-36	Jiangxi	29.156	113.716
CN-22	Jilin	43.838	126.55
CN-21	Liaoning	41.732	123.258
CN-63	Qinghai	36.086	120.34
CN-61	Shaanxi	34.223	108.955
CN-37	Shandong	36.674	117.06
CN-14	Shanxi	28.456	117.922
CN-51	Sichuan	30.632	104.087
CN-53	Yunnan	24.949	103.95
CN-33	Zhejiang	29.949	121.143
CN-45	Guangxi	22.827	108.344
CN-15	Nei Mongol	38.853	105.701
CN-64	Ningxia	31.231	121.414
CN-65	Xinjiang	21.872	111.985
CN-54	Xizang	31.226	121.48
CN-91	Xianggang (Hong-Kong)	22.284	114.138
CO-DC	Distrito Capital de Bogotá	4.598	-74.076
CO-ANT	Antioquia	6.56	-75.828
CO-CUN	Cundinamarca	4.617	-74.1
CO-HUI	Huila	2.536	-75.528
CO-SAN	Santander	1.214	-77.275
CO-VAC	Valle del Cauca	3.801	-76.641
CR-H	Heredia	9.992	-84.12
CR-P	Puntarenas	9.978	-84.829
CR-SJ	San José	9.933	-84.083
CU-03	Ciudad de La Habana	23.117	-82.389
CU-02	La Habana	23.117	-82.389
CU-01	Pinar del Rio	22.425	-83.688
CU-07	Sancti Spíritus	21.934	-79.444
CU-05	Villa Clara	22.414	-79.966
CY-04	Ammóchostos	35.126	33.925
CY-05	Páfos	34.772	32.43
CZ-JC	Jihočeský kraj	48.946	14.442
CZ-JM	Jihomoravský kraj	49.297	16.743
CZ-KA	Karlovarský kraj	50.144	12.75
CZ-KR	Královéhradecký kraj	50.433	15.369
CZ-LI	Liberecký kraj	50.659	14.763
CZ-MO	Moravskoslezský kraj	49.731	18.233
CZ-OL	Olomoucký kraj	50.31	17.383
CZ-PA	Pardubický kraj	49.944	16.286
CZ-PL	Plzeňský kraj	49.413	13.316
