code	name	lat	lng
IT-AG	Agrigento	37.311	13.577
IT-AL	Alessandria	44.913	8.617
IT-AN	Ancona	43.616	13.519
IT-AO	Aosta	45.735	7.313
IT-AR	Arezzo	43.471	11.863
IT-AV	Avellino	40.915	14.793
IT-BA	Bari	41.126	16.868
IT-BL	Belluno	46.14	12.218
IT-BN	Benevento	41.13	14.781
IT-BG	Bergamo	45.695	9.67
IT-BO	Bologna	44.494	11.346
IT-BS	Brescia	45.54	10.223
IT-CA	Cagliari	39.215	9.109
IT-CL	Caltanissetta	37.49	14.063
IT-CB	Campobasso	41.56	14.665
IT-CE	Caserta	41.075	14.332
IT-CT	Catania	37.502	15.088
IT-CZ	Catanzaro	38.911	16.588
IT-CH	Chieti	42.352	14.167
IT-CO	Como	45.812	9.086
IT-CS	Cosenza	39.298	16.254
IT-CR	Cremona	45.133	10.026
IT-KR	Crotone	39.081	17.127
IT-CN	Cuneo	44.389	7.547
IT-EN	Enna	37.568	14.28
IT-FI	Firenze	43.769	11.257
IT-FR	Frosinone	41.64	13.352
IT-GE	Genova	44.407	8.934
IT-IS	Isernia	41.594	14.231
IT-SP	La Spezia	44.107	9.829
IT-AQ	L'Aquila	42.351	13.4
IT-LE	Lecce	40.353	18.174
IT-LI	Livorno	43.552	10.308
IT-LO	Lodi	45.313	9.498
IT-LU	Lucca	43.843	10.508
IT-MC	Macerata	43.301	13.456
IT-MS	Massa-Carrara	44.08	10.104
IT-MT	Matera	40.669	16.606
IT-ME	Messina	38.192	15.556
IT-MI	Milano	45.464	9.188
IT-MO	Modena	44.647	10.925
IT-NA	Napoli	40.84	14.252
IT-PA	Palermo	38.116	13.361
IT-PR	Parma	44.808	10.33
IT-PV	Pavia	45.186	9.157
IT-PG	Perugia	43.111	12.389
IT-PT	Pistoia	43.932	10.919
IT-PZ	Potenza	40.637	15.802
IT-RG	Ragusa	36.926	14.729
IT-RC	Reggio Calabria	38.115	15.65
IT-RN	Rimini	44.061	12.566
IT-RM	Roma	41.895	12.482
IT-RO	Rovigo	45.071	11.79
IT-SA	Salerno	40.678	14.766
IT-SV	Savona	44.311	8.477
IT-SO	Sondrio	46.171	9.869
IT-TA	Taranto	40.469	17.24
IT-TE	Teramo	42.661	13.699
IT-TR	Terni	42.56	12.647
IT-TO	Torino	45.071	7.687
IT-TP	Trapani	38.019	12.515
IT-TN	Trento	46.067	11.119
IT-TV	Treviso	45.666	12.242
IT-TS	Trieste	45.654	13.778
IT-UD	Udine	46.065	13.231
IT-VA	Varese	45.818	8.826
IT-VE	Venezia	45.434	12.339
IT-VB	Verbano-Cusio-Ossola	45.93	8.466
IT-VR	Verona	45.438	10.992
IT-VI	Vicenza	45.546	11.54
JM-04	Portland	17.975	-76.77
JO-AJ	`Ajlun	32.335	35.697
JO-BA	Al Balqā'	32.167	35.617
JO-KA	Al Karak	31.165	35.762
JO-MA	Al Mafraq	32.362	36.219
JO-AM	Amman	31.949	35.933
JO-IR	Irbid	32.545	35.857
JO-MN	Ma`ān	30.184	35.712
JO-MD	Mādabā	31.715	35.796
JP-23	Aichi	34.74	137.387
JP-05	Akita	39.72	140.103
JP-02	Aomori	40.822	140.747
JP-38	Ehime	33.85	132.772
JP-18	Fukui	36.064	136.219
JP-07	Fukushima	37.761	140.473
JP-34	Hiroshima	34.385	132.455
JP-28	Hyogo	34.681	135.165
JP-03	Iwate	39.973	141.213
JP-46	Kagoshima	31.597	130.557
JP-14	Kanagawa	35.477	139.629
JP-39	Kochi	33.559	133.531
JP-43	Kumamoto	32.803	130.708
JP-26	Kyoto	35.012	135.768
JP-24	Mie	34.746	136.524
JP-04	Miyagi	38.259	140.831
JP-42	Nagasaki	32.75	129.878
JP-29	Nara	34.685	135.805
JP-33	Okayama	34.655	133.92
JP-47	Okinawa	26.334	127.806
JP-27	Osaka	34.694	135.502
JP-09	Tochigi	36.381	139.73
JP-13	Tokyo	35.713	139.762
JP-16	Toyama	36.696	137.214
JP-35	Yamaguchi	34.178	131.474
KE-200	Central	-1.214	36.873
KE-600	Nyanza	-0.468	34.704
KE-700	Rift Valley	-0.944	36.596
KG-GB	Bishkek	42.87	74.588
KG-N	Naryn	41.425	75.998
KG-Y	Ysyk-Köl	42.186	77.562
KH-17	Siem Reab	13.362	103.86
KP-PYN	P’yŏngan-namdo	39.033	125.762
KP-HAB	Hamgyŏng-bukto	42.052	129.723
KR-11	Seoul Teugbyeolsi	37.567	126.978
KR-26	Busan Gwang'yeogsi	35.18	129.076
KR-27	Daegu Gwang'yeogsi	35.871	128.601
KR-31	Ulsan Gwang'yeogsi	35.538	129.311
KR-44	Chungcheongnamdo	36.518	126.8
KR-41	Gyeonggido	44.496	11.295
KR-45	Jeonrabukdo	35.687	127.071
KR-46	Jeonranamdo	34.868	126.991
KW-AH	Al Ahmadi	29.097	48.068
KW-FA	Al Farwānīyah	32.318	-86.902
KW-JA	Al Jahrah	29.332	47.696
KW-KU	Al Kuwayt	29.37	47.978
KW-HA	Hawallī	29.336	48.02
KW-MU	Mubarak al Kabeer	29.224	48.053
KZ-ALA	Almaty	43.255	76.913
KZ-AST	Astana	51.196	71.441
KZ-ALM	Almaty oblysy	43.255	76.913
KZ-AKM	Aqmola oblysy	51.644	69.836
KZ-ATY	Atyraū oblysy	43.292	76.984
KZ-YUZ	Ongtüstik Qazaqstan oblysy	42.968	68.816
KZ-PAV	Pavlodar oblysy	52.283	76.905
KZ-KUS	Qostanay oblysy	53.181	63.733
KZ-VOS	Shyghys Qazaqstan oblysy	48.795	81.549
KZ-ZHA	Zhambyl oblysy	44.287	72.137
LB-BI	Béqaa	34.358	36.245
LB-BA	Beyrouth	33.889	35.495
LB-AS	Liban-Nord	34.325	36.0
LB-JA	Liban-Sud	33.198	35.344
LB-JL	Mont-Liban	33.878	35.683
LB-NA	Nabatîyé	33.432	35.685
LT-AL	Alytaus Apskritis	54.33	24.196
LT-KU	Kauno Apskritis	54.989	23.717
LT-KL	Klaipėdos Apskritis	55.669	21.424
LT-MR	Marijampolės Apskritis	54.558	23.35
LT-PN	Panevėžio Apskritis	55.805	24.017
LT-SA	Šiaulių Apskritis	55.972	23.033
LT-TA	Tauragés Apskritis	55.405	22.573
LT-TE	Telšių Apskritis	55.988	22.243
LT-UT	Utenos Apskritis	55.5	25.609
LT-VL	Vilniaus Apskritis	54.773	25.587
LV-016	Bauska	56.404	24.194
LV-022	Cēsis	57.313	25.275
LV-025	Daugavpils	55.875	26.536
LV-047	Krāslava	55.895	27.165
LV-050	Kuldīga	56.976	21.957
LV-056	Livanu novads	56.349	26.361
LV-058	Ludza	56.545	27.727
LV-097	Talsi	57.246	22.585
LV-099	Tukums	56.967	23.153
LV-VMR	Valmiera	57.543	25.43
LV-DGV	Daugavpils	55.875	26.536
LV-106	Ventspils	57.395	21.593
LV-LPX	Liepāja	56.489	21.012
LV-RIX	Rīga	56.947	24.105
LY-BU	Al Buţnān	32.147	23.808
LY-JG	Al Jabal al Gharbī	32.318	-86.902
LY-MJ	Al Marj	32.5	20.83
LY-MB	Al Marqab	32.318	-86.902
LY-ZA	Az Zāwiyah	32.763	12.736
LY-BA	Banghāzī	32.117	20.067
LY-DR	Darnah	32.764	22.639
LY-MI	Mişrātah	32.374	15.095
LY-SB	Sabhā	27.029	14.431
LY-TB	Ţarābulus	32.883	13.191
LY-WS	Wādī ash Shāţiʾ	27.791	12.859
MA-HOC	Al Hoceïma	35.249	-3.937
MA-BEM	Beni Mellal	32.339	-6.361
MA-CHI	Chichaoua	31.544	-8.766
MA-JDI	El Jadida	33.233	-8.5
MA-ERR	Errachidia	31.932	-4.424
MA-GUE	Guelmim	28.98	-10.062
MA-KHO	Khouribga	32.883	-6.9
MA-LAR	Larache	35.183	-6.15
MA-SEF	Sefrou	33.836	-4.844
MA-SET	Settat	33	-7.617
MA-SIK	Sidl Kacem	34.227	-5.717
MA-TAI	Taourirt	34.417	-2.9
MA-TIZ	Tiznit	29.708	-9.733
MA-AGD	Agadir-Ida-Outanane	30.421	-9.604
MA-CAS	Casablanca [Dar el Beïda]	33.556	-7.662
MA-FES	Fès-Dar-Dbibegh	34.029	-5.005
MA-OUJ	Oujda-Angad	34.786	-1.926
MA-RAB	Rabat	34.015	-6.833
MA-SAL	Salé	34.033	-6.8
MA-TNG	Tanger-Assilah	35.767	-5.8
MA-MID	Midelt	32.679	-4.733
MD-GA	Găgăuzia, Unitatea teritorială autonomă	32.157	-82.907
MD-CU	Chișinău	47.039	28.864
MD-BR	Briceni	48.363	27.075
MD-DU	Dubăsari	47.266	29.157
MD-GL	Glodeni	47.767	27.517
ME-01	Andrijevica	42.734	19.792
ME-02	Bar	42.1	19.1
ME-03	Berane	42.847	19.869
ME-04	Bijelo Polje	43.038	19.748
ME-06	Cetinje	42.391	18.914
ME-07	Danilovgrad	42.556	19.106
ME-09	Kolašin	42.823	19.516
ME-11	Mojkovac	42.96	19.58
ME-12	Nikšić	42.773	18.944
ME-13	Plav	42.596	19.945
ME-14	Pljevlja	43.36	19.36
ME-15	Plužine	43.154	18.841
ME-16	Podgorica	42.443	19.269
ME-17	Rožaje	42.844	20.168
ME-21	Žabljak	43.155	19.123
MK-KX	Karpoš	41.977	21.386
MK-MG	Mogila	41.108	21.378
MK-PN	Plasnica	41.467	21.122
MK-RE	Resen	41.089	21.012
MK-VA	Valandovo	41.317	22.561
ML-7	Gao	16.267	-0.05
MM-04	Mandalay	21.976	96.084
MM-06	Yangon	16.784	96.157
MN-043	Hovd	48.005	91.636
MN-049	Selenge	50.235	106.204
MR-06	Trarza	17.719	-14.965
MT-01	Attard	35.888	14.443
MT-02	Balzan	35.873	14.44
MT-24	Lija	35.902	14.449
MT-38	Naxxar	35.925	14.44
MX-DIF	Distrito Federal	19.427	-99.128
MX-AGU	Aguascalientes	21.882	-102.291
MX-COA	Coahuila	32.642	-115.494
MX-CHH	Chihuahua	28.635	-106.089
MX-GUA	Guanajuato	21.018	-101.258
MX-GRO	Guerrero	17.59	-99.182
MX-JAL	Jalisco	19.711	-103.475
MX-MIC	Michoacán	19.567	-101.707
MX-NAY	Nayarit	21.751	-104.845
MX-NLE	Nuevo León	23.453	-100.037
MX-OAX	Oaxaca	17.067	-96.72
MX-PUE	Puebla	19.041	-98.206
MX-SLP	San Luis Potosí	22.156	-100.986
MX-SON	Sonora	32.062	-114.972
MX-TAM	Tamaulipas	24.267	-98.836
MX-ZAC	Zacatecas	22.771	-102.583
MY-01	Johor	3.001	101.402
MY-10	Selangor	3.057	101.64
NG-KN	Kano	12	8.517
NG-OS	Osun	7.983	5.083
NI-AN	Atlántico Norte	14.06	-84.087
NL-DR	Drenthe	52.948	6.623
NL-FR	Friesland	53.164	5.782
NL-GE	Gelderland	52.045	5.872
NL-GR	Groningen	53.219	6.567
NL-LI	Limburg	50.974	5.342
NL-NB	Noord-Brabant	51.483	5.232
NL-NH	Noord-Holland	52.391	4.911
NL-OV	Overijssel	52.439	6.502
NL-UT	Utrecht	52.09	5.11
NL-ZE	Zeeland	51.494	3.85
NL-ZH	Zuid-Holland	51.905	4.404
NO-02	Akershus	59.92	10.755
NO-09	Aust-Agder	58.366	8.595
NO-06	Buskerud	59.751	10.152
NO-20	Finnmark	69.949	23.488
NO-04	Hedmark	60.792	11.035
NO-12	Hordaland	60.389	5.325
NO-15	Møre og Romsdal	62.623	7.171
NO-18	Nordland	66.871	14.598
NO-17	Nord-Trøndelag	64.861	11.233
NO-05	Oppland	61.109	10.455
NO-03	Oslo	59.914	10.752
NO-11	Rogaland	58.954	5.724
NO-14	Sogn og Fjordane	61.589	5.042
NO-16	Sør-Trøndelag	63.606	8.971
NO-08	Telemark	59.526	8.571
NO-19	Troms	70.673	23.666
NO-10	Vest-Agder	58.069	7.387
NO-07	Vestfold	57.298	9.657
NO-01	Østfold	59.491	10.852
NP-BA	Bagmati	27.684	85.353
NP-DH	Dhawalagiri	28.682	83.605
NP-GA	Gandaki	28.284	83.94
NP-RA	Rapti	28.419	82.258
NZ-AUK	Auckland	-36.848	174.763
NZ-CAN	Canterbury	-43.754	171.164
NZ-HKB	Hawke's Bay	-39.771	176.742
NZ-OTA	Otago	-44.828	169.635
NZ-STL	Southland	-45.863	167.974
NZ-WKO	Waikato	-37.747	175.421
OM-DA	Ad Dākhilīya	22.389	57.427
OM-BA	Al Bāţinah	24.056	56.758
OM-SH	Ash Sharqīyah	23.62	58.498
OM-ZA	Az̧ Z̧āhirah	23.21	56.471
OM-MA	Masqaţ	23.614	58.592
OM-MU	Musandam	26.024	56.286
OM-ZU	Z̧ufār	18.061	54.308
PA-8	Panamá	8.994	-79.519
PH-08	Eastern Visayas (Region VIII)	11.011	124.605
PH-CEB	Cebu	10.359	123.863
PH-MOU	Mountain Province	16.994	120.822
PK-BA	Balochistan	30.166	66.991
PK-NW	North-West Frontier	34.953	72.331
PK-PB	Punjab	31.147	75.341
PK-JK	Azad Kashmir	34.149	76.826
PL-DS	Dolnośląskie	51.134	16.884
PL-KP	Kujawsko-pomorskie	53.165	18.483
PL-LU	Lubelskie	51.249	23.101
PL-LB	Lubuskie	52.227	15.256
PL-LD	Łódzkie	51.463	19.173
PL-MA	Małopolskie	49.723	20.25
PL-MZ	Mazowieckie	52.537	21.077
PL-OP	Opolskie	50.8	17.938
PL-PK	Podkarpackie	50.057	22.09
PL-PD	Podlaskie	53.07	22.967
PL-PM	Pomorskie	54.294	18.153
PL-SL	Śląskie	50.256	18.856
PL-SK	Świętokrzyskie	50.626	20.941
PL-WN	Warmińsko-mazurskie	53.867	20.703
PL-WP	Wielkopolskie	52.28	17.352
PL-ZP	Zachodniopomorskie	53.103	14.914
PS-NBS	Nablus	32.222	35.26
PS-JEM	Jerusalem	31.765	35.215
PS-JEN	Jenin	32.464	35.293
PS-BTH	Bethlehem	31.705	35.202
PS-GZA	Bethlehem	31.425	34.38
PS-TKM	Bethlehem	32.319	35.023
PS-JRH	Jericho al-Aghwar	32.103	35.464
PS-RBH	Ramallah	31.904	35.201
PS-HBN	Hebron	31.532	35.1
PT-01	Aveiro	40.641	-8.654
PT-03	Braga	41.552	-8.423
PT-04	Bragança	41.807	-6.759
PT-05	Castelo Branco	39.824	-7.492
PT-06	Coimbra	40.211	-8.429
PT-07	Évora	38.571	-7.91
PT-08	Faro	37.015	-7.935
PT-09	Guarda	40.537	-7.268
PT-10	Leiria	39.744	-8.807
PT-11	Lisboa	38.707	-9.135
PT-12	Portalegre	39.291	-7.432
PT-13	Porto	41.15	-8.61
PT-14	Santarém	39.236	-8.687
PT-15	Setúbal	38.525	-8.893
PT-16	Viana do Castelo	41.695	-8.83
PT-17	Vila Real	41.296	-7.746
PT-18	Viseu	40.658	-7.914
PT-20	Região Autónoma dos Açores	37.793	-25.423
PT-30	Região Autónoma da Madeira	32.715	-16.958
QA-DA	Ad Dawhah	25.352	51.494
QA-KH	Al Khawr	25.684	51.502
QA-WA	Al Wakrah	25.177	51.603
QA-RA	Ar Rayyan	25.301	51.43
QA-US	Umm Salal	25.477	51.341
RO-AB	Alba	46.156	23.556
RO-AG	Argeș	44.879	24.884
RO-BC	Bacău	46.571	26.925
RO-BN	Bistrița-Năsăud	47.266	24.371
RO-BT	Botoșani	47.746	26.667
RO-BV	Brașov	45.656	25.611
RO-BR	Brăila	45.269	27.957
RO-BZ	Buzău	45.148	26.823
RO-CJ	Cluj	46.777	23.6
RO-CT	Constanța	44.173	28.638
RO-GJ	Gorj	45.019	23.525
RO-HR	Harghita	46.589	25.584
RO-IS	Iași	47.157	27.59
RO-MM	Maramureș	47.711	23.948
RO-MH	Mehedinți	44.51	22.575
RO-OT	Olt	44.235	24.456
RO-SB	Sibiu	45.787	24.143
RO-SV	Suceava	47.651	26.256
RO-TR	Teleorman	46.782	23.623
RO-TM	Timiș	45.72	21.25
RO-VS	Vaslui	46.638	27.729
RO-VN	Vrancea	45.755	27.035
RO-B	București	44.438	26.097
RS-00	Beograd	44.817	20.307
RS-KM	Kosovo-Metohija	43.022	21.138
RS-VO	Vojvodina	45.362	20.063
RS-11	Braničevski okrug	44.462	21.551
RS-23	Jablanički okrug	42.979	21.942
RS-06	Južnobački okrug	45.343	19.698
RS-04	Južnobanatski okrug	45.017	21.001
RS-09	Kolubarski okrug	44.304	19.949
RS-25	Kosovski okrug	43.022	21.138
RS-28	Kosovsko-Mitrovački okrug	42.892	20.867
RS-29	Kosovsko-Pomoravski okrug	42.453	21.472
RS-08	Mačvanski okrug	44.563	19.48
RS-17	Moravički okrug	43.726	20.32
RS-20	Nišavski okrug	43.361	21.824
RS-24	Pčinjski okrug	42.578	22.087
RS-26	Pećki okrug	42.693	20.403
RS-22	Pirotski okrug	43.155	22.586
RS-10	Podunavski okrug	45.048	20.08
RS-19	Rasinski okrug	43.517	21.19
RS-18	Raški okrug	43.298	20.606
RS-07	Sremski okrug	45.057	20.084
RS-12	Šumadijski okrug	44.096	20.86
RS-21	Toplički okrug	43.151	21.415
RS-15	Zaječarski okrug	43.759	22.129
RS-05	Zapadnobački okrug	45.765	19.121
RS-16	Zlatiborski okrug	43.584	19.756
RU-AD	Adygeya, Respublika	44.594	40.109
RU-AL	Altay, Respublika	51.281	86.74
RU-BA	Bashkortostan, Respublika	54.232	56.306
RU-BU	Buryatiya, Respublika	51.786	107.718
RU-CE	Chechenskaya Respublika	43.32	45.727
RU-CU	Chuvashskaya Respublika	55.468	47.087
RU-DA	Dagestan, Respublika	42.847	47.135
RU-IN	Respublika Ingushetiya	43.316	45
RU-KB	Kabardino-Balkarskaya Respublika	43.477	43.501
RU-KL	Kalmykiya, Respublika	46.225	45.287
RU-KC	Karachayevo-Cherkesskaya Respublika	44.166	42.053
RU-KR	Kareliya, Respublika	55.93	36.721
RU-KK	Khakasiya, Respublika	53.393	90.313
RU-KO	Komi, Respublika	64.042	54.387
RU-ME	Mariy El, Respublika	56.632	47.877
RU-MO	Mordoviya, Respublika	54.261	44.667
RU-SA	Sakha, Respublika [Yakutiya]	60.598	130.59
RU-SE	Severnaya Osetiya-Alaniya, Respublika	43.045	44.287
RU-TA	Tatarstan, Respublika	55.283	50.891
RU-UD	Udmurtskaya Respublika	57.067	53.028
RU-ALT	Altayskiy kray	52.598	82.468
RU-KAM	Kamchatskiy kray	61.98	166.598
RU-KHA	Khabarovskiy kray	50.589	135
RU-KDA	Krasnodarskiy kray	45.053	39.017
RU-KYA	Krasnoyarskiy kray	56.055	92.953
RU-PER	Permskiy kray	58.142	56.456
RU-PRI	Primorskiy kray	45.229	134.836
RU-STA	Stavropol'skiy kray	45.039	41.982
RU-ZAB	Zabajkal'skij kraj	52.102	113.685
RU-ARK	Arkhangel'skaya oblast'	63.42	43.245
RU-BEL	Belgorodskaya oblast'	57.72	33.458
RU-BRY	Bryanskaya oblast'	52.913	33.573
RU-CHE	Chelyabinskaya oblast'	55.084	61.367
RU-IRK	Irkutiskaya oblast'	56.167	101.34
RU-IVA	Ivanovskaya oblast'	53.69	43.961
RU-KGD	Kaliningradskaya oblast'	54.886	20.578
RU-KLU	Kaluzhskaya oblast'	54.369	35.628
RU-KEM	Kemerovskaya oblast'	64.958	34.568
RU-KIR	Kirovskaya oblast'	60.011	48.041
RU-KOS	Kostromskaya oblast'	58.281	43.844
RU-KGN	Kurganskaya oblast'	55.456	65.277
RU-KRS	Kurskaya oblast'	51.666	36.15
RU-LEN	Leningradskaya oblast'	59.67	31.349
RU-LIP	Lipetskaya oblast'	52.609	39.559
RU-MOS	Moskovskaya oblast'	55.756	37.618
RU-NIZ	Nizhegorodskaya oblast'	62.664	41.366
RU-NGR	Novgorodskaya oblast'	58.319	32.324
RU-NVS	Novosibirskaya oblast'	55.275	79.951
RU-OMS	Omskaya oblast'	54.965	73.296
RU-ORE	Orenburgskaya oblast'	55.009	95.104
RU-ORL	Orlovskaya oblast'	52.968	36.069
RU-PNZ	Penzenskaya oblast'	53.193	44.067
RU-PSK	Pskovskaya oblast'	57.186	29.129
RU-ROS	Rostovskaya oblast'	47.462	41.061
RU-RYA	Ryazanskaya oblast'	54.267	40.799
RU-SAM	Samaraskaya oblast'	53.229	50.253
RU-SAR	Saratovskaya oblast'	51.6	46.013
RU-SMO	Smolenskaya oblast'	54.865	32.803
RU-SVE	Sverdlovskaya oblast'	57.477	61.454
RU-TAM	Tambovskaya oblast'	52.007	42.256
RU-TOM	Tomskaya oblast'	55.287	86.015
RU-TUL	Tul'skaya oblast'	54.197	37.618
RU-TVE	Tverskaya oblast'	57.025	34.997
RU-TYU	Tyumenskaya oblast'	49.588	117.479
RU-ULY	Ul'yanovskaya oblast'	54.401	48.803
RU-VLA	Vladimirskaya oblast'	56.155	40.593
RU-VGG	Volgogradskaya oblast'	48.71	44.495
RU-VLG	Vologodskaya oblast'	60.172	37.605
RU-VOR	Voronezhskaya oblast'	50.855	40.158
RU-YAR	Yaroslavskaya oblast'	58.919	39.162
RU-MOW	Moskva	55.741	37.622
RU-SPE	Sankt-Peterburg	59.939	30.316
RU-CHU	Chukotskiy avtonomnyy okrug	66.296	173.247
RU-KHM	Khanty-Mansiysky avtonomnyy okrug-Yugra	61.278	73.34
RW-02	Est	45.055	-81.309
RW-05	Sud	-1.958	30.106
SA-11	Al Bāhah	28.397	45.927
SA-08	Al Ḥudūd ash Shamāliyah	30.356	41.87
SA-12	Al Jawf	29.803	39.879
SA-03	Al Madīnah	24.461	39.62
SA-05	Al Qaşīm	21.466	39.201
SA-01	Ar Riyāḍ	24.7	46.692
SA-04	Ash Sharqīyah	26.42	50.099
SA-14	`Asīr	24.62	46.698
SA-06	Ḥā'il	21.519	39.17
SA-09	Jīzan	17.198	42.754
SA-02	Makkah	21.427	39.815
SA-10	Najrān	26.272	50.186
SA-07	Tabūk	26.273	50.19
SC-BTE	Bute	55.828	-5.092
SC-ANG	Angus Forfarshire	56.739	-2.912
SC-ARG	Argyll	56.102	-5.479
SC-ARN	Arran	55.58	-5.215
SC-LNK	Lanarkshire	55.583	-3.835
SC-ELT	East Lothian Haddingtonshire	55.948	-2.729
SC-CTH	Caithness	58.425	-3.544
SC-STR	Stirlingshire	56.234	-4.333
SC-SLK	Selkirkshire and Ettrick	55.493	-2.999
SC-GAL	Galloway	54.989	-4.371
SC-DMF	Dumfriesshire	55.169	-3.397
SC-DDE	Dundee	56.461	-2.97
SC-DNB	Dunbartonshire	55.971	-4.384
SC-KCB	Kircudbrightshire	54.839	-4.049
SC-KNR	Kinrossshire	56.207	-3.428
SC-OTH	Scotland Other/Unknown	56.491	-4.203
SC-ABS	Aberdeenshire	57.315	-2.437
SC-ABN	Aberdeen	57.15	-2.095
SC-BOR	Borders	55.579	-2.758
SC-BWK	Berwickshire	55.778	-2.413
SC-KTR	Kintyre	55.577	-5.576
SC-SKY	Skye	57.519	-6.227
SC-KNC	Kincardine/Mearns	56.069	-3.716
SC-BNF	Banff	57.666	-2.524
SC-WLT	Westlothian Linlithgowshire	55.97	-3.599
SC-ROX	Roxburghshire	55.453	-2.485
SC-GLA	Glasgow	55.862	-4.254
SC-ISL	Islay	55.739	-6.177
SC-INS	Inverness/shire	57.472	-4.223
SC-WI	Western Isles	57.625	-7.259
SC-SUT	Sutherland	58.16	-4.552
SC-FIF	Fife	56.227	-3.137
SC-AYR	Ayrshire	55.418	-4.398
SC-ERS	Easter Ross	57.78	-4.077
SC-PTH	Perthshire	56.543	-4.016
SC-RFR	Renfrewshire	55.855	-4.542
SC-EDI	Edinburgh Midlothian	55.87	-3.124
SC-MRY	Elgin Moray	57.649	-3.318
SC-ORK	Orkney	59.037	-3.135
SC-SHE	Shetland	60.319	-1.288
SC-WRS	Wester Ross	57.684	-5.554
SD-26	Al Baḩr al Aḩmar	19.579	37.195
SD-07	Al Jazīrah	14.593	33.385
SD-03	Al Kharţūm	15.599	32.509
SD-06	Al Qaḑārif	14.033	35.383
SD-04	An Nīl	18.218	33.92
SD-01	Ash Shamālīyah	19.157	30.453
SD-13	Janūb Kurdufān	10.997	29.727
SD-05	Kassalā	15.45	36.4
SD-09	Shamāl Kurdufān	13.152	29.591
SE-K	Blekinge län	56.143	15.367
SE-W	Dalarnas län	61.092	14.666
SE-I	Gotlands län	57.65	18.714
SE-X	Gävleborgs län	61.439	16.594
SE-N	Hallands län	56.796	12.893
SE-Z	Jämtlande län	63.248	14.574
SE-F	Jönköpings län	57.782	14.159
SE-H	Kalmar län	57.094	16.544
SE-G	Kronobergs län	56.891	14.508
SE-BD	Norrbottens län	66.831	20.399
SE-M	Skåne län	55.99	13.596
SE-AB	Stockholms län	59.333	18.064
SE-D	Södermanlands län	59.034	16.752
SE-C	Uppsala län	59.858	17.645
SE-S	Värmlands län	59.581	12.847
SE-AC	Västerbottens län	65.334	16.516
SE-Y	Västernorrlands län	62.986	18.126
SE-U	Västmanlands län	59.671	16.216
SE-O	Västra Götalands län	58.16	12.136
SE-T	Örebro län	59.274	15.208
SE-E	Östergötlands län	58.345	15.52
SG-01	Central Singapore	1.352	103.943
SI-034	Hrastnik	46.146	15.085
SI-038	Ilirska Bistrica	45.579	14.281
SI-048	Kočevje	45.639	14.865
SI-054	Krško	45.959	15.492
SI-170	Mirna Peč	45.86	15.082
SI-091	Pivka	45.683	14.196
SI-119	Šentjernej	45.84	15.339
SI-211	Šentrupert	45.977	15.091
SI-134	Velike Lašče	45.834	14.636
SI-193	Žužemberk	45.831	14.929
SK-BC	Banskobystrický kraj	48.531	19.383
SK-KI	Košický kraj	48.416	22.017
SK-NI	Nitriansky kraj	48.014	18.542
SK-PV	Prešovský kraj	49.172	21.374
SK-TC	Trenčiansky kraj	48.809	18.232
SK-TA	Trnavský kraj	48.394	17.722
SK-ZI	Žilinský kraj	49.203	19.365
SL-W	Western Area (Freetown)	8.484	-13.229
SO-BN	Banaadir	2.055	45.333
SO-BR	Bari	10.184	50.165
SO-BY	Bay	2.73	43.504
SO-MU	Mudug	6.477	47.983
SO-SA	Saneag	10.19	47.496
SO-SO	Sool	8.739	47.643
SO-TO	Togdheer	8.855	45.726
SO-WO	Woqooyi Galbeed	9.582	44.079
SR-PM	Paramaribo	5.867	-55.167
SV-CA	Cabañas	13.728	-88.88
SV-PA	La Paz	41.203	-77.195
SV-SS	San Salvador	13.69	-89.19
SV-SV	San Vicente	13.641	-88.785
SY-HA	Al Hasakah	36.493	40.767
SY-LA	Al Ladhiqiyah	35.521	35.792
SY-QU	Al Qunaytirah	33.12	35.825
SY-RA	Ar Raqqah	35.95	39.017
SY-SU	As Suwayda'	32.706	36.566
SY-DR	Dar'a	32.624	36.105
SY-DY	Dayr az Zawr	35.333	40.15
SY-DI	Dimashq	33.513	36.292
SY-HL	Halab	36.216	37.159
SY-HM	Hamah	35.138	36.752
SY-HI	Homs	34.708	36.707
SY-ID	Idlib	35.933	36.633
SY-RD	Rif Dimashq	33.513	36.292
TD-SA	Salāmāt	10.825	20.502
TJ-GB	Gorno-Badakhshan	37.702	72.449
TN-81	Gabès	33.893	10.103
TN-42	Kasserine	35.172	8.829
TN-73	Kebili	33.702	8.974
TN-82	Medenine	33.349	10.495
TN-52	Monastir	35.777	10.826
TN-34	Siliana	36.091	9.37
TN-51	Sousse	35.833	10.633
TN-83	Tataouine	32.926	10.444
TN-72	Tozeur	33.924	8.131
TN-11	Tunis	36.819	10.166
TR-03	Afyon	38.764	30.54
TR-07	Antalya	36.884	30.706
TR-69	Bayburt	40.255	40.225
TR-14	Bolu	40.739	31.612
TR-15	Burdur	37.727	30.289
TR-21	Diyarbakır	37.914	40.231
TR-25	Erzurum	39.904	41.268
TR-27	Gaziantep	37.066	37.383
TR-28	Giresun	40.913	38.39
TR-29	Gümüşhane	40.46	39.481
TR-30	Hakkâri	37.583	43.733
TR-31	Hatay	36.2	36.167
TR-32	Isparta	37.765	30.557
TR-33	İçel	36.764	34.551
